Round,Date,Time,League,"Home Team",H,A,"Away Team",Status,Venue
1,29/03/2026,13:10,U21B,"EEAG U21B-2",6,0,"CRSL U21B",PLAYED,"Anzac 2"
1,29/03/2026,10:00,U21B,"KIRR U21B",1,6,"BARD U21B",PLAYED,"Kareela 4"
1,29/03/2026,11:30,U21B,"STPA U21B",5,2,"EEAG U21B-1",PLAYED,"Forest Road"
1,29/03/2026,10:00,U21B,"CSEA U21B",2,0,"LIPI U21B",PLAYED,"5 Sports Caringbah"
2,12/04/2026,11:20,U21B,"CRSL U21B",1,1,"CSEA U21B",PLAYED,"Solander 3"
2,12/04/2026,14:50,U21B,"EEAG U21B-1",2,3,"EEAG U21B-2",PLAYED,"Anzac 2"
2,12/04/2026,10:00,U21B,"BARD U21B",3,3,"STPA U21B",PLAYED,"Ridge 4"
2,12/04/2026,14:40,U21B,"LIPI U21B",1,2,"KIRR U21B",PLAYED,"Greenhills 1"
3,19/04/2026,14:50,U21B,"EEAG U21B-2",0,1,"BARD U21B",PLAYED,"Anzac 2"
3,19/04/2026,11:20,U21B,"CRSL U21B",1,2,"EEAG U21B-1",PLAYED,"Solander 3"
3,19/04/2026,09:50,U21B,"STPA U21B",4,2,"LIPI U21B",PLAYED,"Forest Road"
3,19/04/2026,10:00,U21B,"CSEA U21B",0,1,"KIRR U21B",PLAYED,"5 Sports Caringbah"
4,26/04/2026,13:10,U21B,"EEAG U21B-1",1,1,"CSEA U21B",PLAYED,"Anzac 2"
4,26/04/2026,08:20,U21B,"BARD U21B",4,1,"CRSL U21B",PLAYED,"Ridge 4"
4,26/04/2026,13:00,U21B,"LIPI U21B",1,3,"EEAG U21B-2",PLAYED,"Greenhills 1"
4,26/04/2026,08:20,U21B,"KIRR U21B",0,0,"STPA U21B",PLAYED,"Kareela 3"
5,03/05/2026,13:10,U21B,"EEAG U21B-2",1,1,"KIRR U21B",PLAYED,"Anzac 2"
5,03/05/2026,11:20,U21B,"CRSL U21B",1,2,"LIPI U21B",PLAYED,"Solander 3"
5,03/05/2026,13:10,U21B,"EEAG U21B-1",2,6,"BARD U21B",PLAYED,"Anzac 3"
5,03/05/2026,11:40,U21B,"CSEA U21B",0,5,"STPA U21B",PLAYED,"Tonkin Oval"
6,10/05/2026,10:00,U21B,"BARD U21B",1,0,"CSEA U21B",PLAYED,"Ridge 3"
6,10/05/2026,11:20,U21B,"LIPI U21B",3,0,"EEAG U21B-1",PLAYED,"Greenhills 1"
6,10/05/2026,11:40,U21B,"KIRR U21B",1,1,"CRSL U21B",PLAYED,"Kareela 4"
6,10/05/2026,09:50,U21B,"STPA U21B",2,4,"EEAG U21B-2",PLAYED,"Forest Road"
7,17/05/2026,11:30,U21B,"EEAG U21B-2",3,4,"CSEA U21B",PLAYED,"Anzac 3"
7,17/05/2026,11:20,U21B,"CRSL U21B",2,1,"STPA U21B",PLAYED,"Solander 3"
7,17/05/2026,14:50,U21B,"EEAG U21B-1",0,2,"KIRR U21B",PLAYED,"Anzac 2"
7,17/05/2026,11:40,U21B,"BARD U21B",3,0,"LIPI U21B",PLAYED,"Ridge 5"
8,24/05/2026,11:20,U21B,"CRSL U21B",1,2,"EEAG U21B-2",PLAYED,"Solander 2"
8,24/05/2026,10:00,U21B,"BARD U21B",1,0,"KIRR U21B",PLAYED,"Ridge 5"
8,24/05/2026,13:10,U21B,"EEAG U21B-1",1,3,"STPA U21B",PLAYED,"Anzac 2"
8,24/05/2026,14:40,U21B,"LIPI U21B",0,1,"CSEA U21B",PLAYED,"Lilli Pilli Oval"
9,21/06/2026,13:20,U21B,"CSEA U21B",-,-,"CRSL U21B",PUBLISHED,"Woolooware 1"
9,21/06/2026,14:50,U21B,"EEAG U21B-2",-,-,"EEAG U21B-1",PUBLISHED,"Anzac 2"
9,21/06/2026,11:20,U21B,"STPA U21B",-,-,"BARD U21B",PUBLISHED,"Forest Road"
9,21/06/2026,10:00,U21B,"KIRR U21B",-,-,"LIPI U21B",PUBLISHED,"Kareela 3"
10,07/06/2026,10:00,U21B,"BARD U21B",3,0,"EEAG U21B-2",PLAYED,"Ridge 5"
10,07/06/2026,14:50,U21B,"EEAG U21B-1",1,2,"CRSL U21B",PLAYED,"Anzac 2"
10,07/06/2026,08:20,U21B,"LIPI U21B",2,3,"STPA U21B",PLAYED,"Lilli Pilli Oval"
10,07/06/2026,08:20,U21B,"KIRR U21B",1,0,"CSEA U21B",PLAYED,"Kareela 3"
11,14/06/2026,11:20,U21B,"CSEA U21B",-,-,"EEAG U21B-1",PUBLISHED,"Woolooware 1"
11,14/06/2026,08:00,U21B,"CRSL U21B",-,-,"BARD U21B",PUBLISHED,"Solander 2"
11,14/06/2026,09:40,U21B,"EEAG U21B-2",-,-,"LIPI U21B",PUBLISHED,"Anzac 3"
11,14/06/2026,08:10,U21B,"STPA U21B",-,-,"KIRR U21B",PUBLISHED,"Forest Road"
12,28/06/2026,11:40,U21B,"KIRR U21B",-,-,"EEAG U21B-2",PUBLISHED,"Kareela 3"
12,28/06/2026,11:20,U21B,"LIPI U21B",-,-,"CRSL U21B",PUBLISHED,"Greenhills 1"
12,28/06/2026,10:00,U21B,"BARD U21B",-,-,"EEAG U21B-1",PUBLISHED,"Ridge 5"
12,28/06/2026,13:10,U21B,"STPA U21B",-,-,"CSEA U21B",PUBLISHED,"Forest Road"
13,05/07/2026,10:00,U21B,"CSEA U21B",-,-,"BARD U21B",PUBLISHED,"Woolooware 1"
13,05/07/2026,14:50,U21B,"EEAG U21B-1",-,-,"LIPI U21B",PUBLISHED,"Anzac 2"
13,05/07/2026,11:20,U21B,"CRSL U21B",-,-,"KIRR U21B",PUBLISHED,"Solander 3"
13,05/07/2026,13:10,U21B,"EEAG U21B-2",-,-,"STPA U21B",PUBLISHED,"Anzac 2"
